,Airport_name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,Attraction_html
1021,Nice-Côte d'Azur Airport,Nice,France,NCE,LFMN,43.658401489300005,7.215869903560001,12,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187234-Activities-Nice_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
1022,Orange-Caritat (BA 115) Air Base,Orange,France,\N,LFMO,44.14049911499024,4.866720199584961,197,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g30753-Activities-Orange_Beach_Alabama.html
1023,Orange Airport,Orange,Australia,OAG,YORG,-33.3816986084,149.132995605,3115,10,U,Australia/Sydney,airport,OurAirports,https://www.tripadvisor.com/Attractions-g30753-Activities-Orange_Beach_Alabama.html
1024,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,France,PGF,LFMP,42.74039840698242,2.8706700801849365,144,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187156-Activities-Perpignan_Pyrenees_Orientales_Occitanie.html
1025,Alès-Deaux Airport,Ales,France,\N,LFMS,44.069697999999995,4.142119999999999,668,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g190504-Activities-Alesund_More_og_Romsdal_Western_Norway.html
1026,Montpellier-Méditerranée Airport,Montpellier,France,MPL,LFMT,43.57619857788086,3.96301007270813,17,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187153-Activities-Montpellier_Herault_Occitanie.html
1027,Béziers-Vias Airport,Beziers,France,BZR,LFMU,43.32350158691406,3.353899955749512,56,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196600-Activities-Beziers_Herault_Occitanie.html
1028,Avignon-Caumont Airport,Avignon,France,AVN,LFMV,43.90729904174805,4.901830196380615,124,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187212-Activities-Avignon_Vaucluse_Provence_Alpes_Cote_d_Azur.html
1029,Salon-de-Provence (BA 701) Air Base,Salon,France,\N,LFMY,43.60639953613281,5.109250068664551,195,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187255-Activities-Salon_de_Provence_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
1030,Lézignan-Corbières Airport,Lezignan-corbieres,France,\N,LFMZ,43.17580032348633,2.7341699600219727,207,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1060834-Activities-Lezignan_Corbieres_Aude_Occitanie.html
